Familia,nombre_cientifico,nombre_comun,nombre_ingles,categoria_IUCN,categoria_MMA,status
Oceanitidae,Oceanites gracilis,Golondrina de mar chica,Elliot's Storm-Petrel,DD,DD,X
Oceanitidae,Oceanites oceanicus,Golondrina de mar de Wilson,Wilson's Storm-Petrel,LC,,X
Oceanitidae,Oceanites pincoyae,Golondrina de mar Pincoya,Pincoya Storm-Petrel,DD,,X
Furnariidae,Ochetorhynchus andaecola,Bandurrilla de las piedras,Rock Earthcreeper,LC,,E
Furnariidae,Ochetorhynchus melanurus,Chiricoca,Crag Chilia,LC,,X(e)
Furnariidae,Ochetorhynchus phoenicurus,Patagón,Band-tailed Earthcreeper,LC,,X
Furnariidae,Ochetorhynchus ruficaudus,Bandurrilla de pico recto,Straight-billed Earthcreeper,LC,,X
Tyrannidae,Ochthoeca leucophrys,Pitajo gris,White-browed Chat-Tyrant,LC,,X
Tyrannidae,Ochthoeca oenanthoides,Pitajo rojizo,d'Orbigny's Chat-Tyrant,LC,,X
Laridae,Onychoprion anaethetus,Gaviotín de bridas,Bridled Tern,LC,,E
Laridae,Onychoprion fuscatus,Gaviotín apizarrado,Sooty Tern,LC,,X
Laridae,Onychoprion lunatus,Gaviotín pascuense,Grey-backed Tern,LC,,E
Charadriidae,Oreopholus ruficollis,Chorlo de campo,Tawny-throated Dotterel,LC,NT Desde Regi√≥n de Antofagasta hasta regi√≥n de Los Lagos. LC resto del pa√≠s,X
Trochilidae,Oreotrochilus estella,Picaflor de la puna,Andean Hillstar,LC,,X
Trochilidae,Oreotrochilus leucopleurus,Picaflor cordillerano,White-sided Hillstar,LC,,X
Anatidae,Oressochen melanopterus,Piuquén,Andean Goose,LC,"LC (XV-IV), EN (V-XII)",X
Hirundinidae,Orochelidon andecola,Golondrina de los riscos,Andean Swallow,LC,,X
Anatidae,Oxyura jamaicensis,Pato rana de pico ancho,Ruddy Duck,LC,,X
Anatidae,Oxyura vittata,Pato rana de pico delgado,Lake Duck,LC,,X
Procellariidae,Pachyptila belcheri,Petrel-paloma de pico delgado,Slender-billed Prion,LC,,X
Procellariidae,Pachyptila desolata,Petrel-paloma antártico,Antarctic Prion,LC,,NR
Procellariidae,Pachyptila vittata,Petrel-paloma de pico ancho,Broad-billed Prion,LC,,E
Pandionidae,Pandion haliaetus,Águila pescadora,Osprey,LC,LC,NR
Accipitridae,Parabuteo unicinctus,Peuco,Harris's Hawk,LC,,X
Rallidae,Pardirallus maculatus,Pidén moteado,Spotted Rail,LC,,E
Rallidae,Pardirallus sanguinolentus,Pidén común,Plumbeous Rail,LC,,X
Parulidae,Parkesia noveboracensis,Reinita acuática,Northern Waterthrush,LC,,E
Passeridae,Passer domesticus,Gorrión,House Sparrow,LC,,IN
Columbidae,Patagioenas araucana,Torcaza,Chilean Pigeon,LC,LC,X
Columbidae,Patagioenas maculosa,Paloma manchada,Spot-winged Pigeon,LC,,X
Columbidae,Patagioenas picazuro,Paloma picazuró,Picazuro Pigeon,LC,,E
Trochilidae,Patagona gigas,Picaflor gigante,Giant Hummingbird,LC,,X
Oceanitidae,Pelagodroma marina,Golondrina de mar de cara blanca,White-faced Storm-Petrel,LC,,NR
Procellariidae,Pelecanoides garnotii,Yunco de Humboldt,Peruvian Diving-Petrel,NT,EN,X
Procellariidae,Pelecanoides magellani,Yunco de Magallanes,Magellanic Diving-Petrel,LC,,X
Procellariidae,Pelecanoides urinatrix,Yunco de los canales,Common Diving-Petrel,LC,,X
Pelecanidae,Pelecanus occidentalis,Pelícano pardo,Brown Pelican,LC,,E
Pelecanidae,Pelecanus thagus,Pelícano de Humboldt,Peruvian Pelican,NT,NT,X
Hirundinidae,Petrochelidon pyrrhonota,Golondrina grande,Cliff Swallow,LC,,X
Phaethontidae,Phaethon aethereus,Ave del trópico de pico rojo,Red-billed Tropicbird,LC,,X
Phaethontidae,Phaethon lepturus,Ave del trópico de cola blanca,White-tailed Tropicbird,LC,,X
Phaethontidae,Phaethon rubricauda,Ave del trópico de cola roja,Red-tailed Tropicbird,LC,VU,X
Scolopacidae,Phalaropus fulicarius,Pollito de mar rojizo,Red Phalarope,LC,,NR
Scolopacidae,Phalaropus lobatus,Pollito de mar boreal,Red-necked Phalarope,LC,,E
Scolopacidae,Phalaropus tricolor,Pollito de mar tricolor,Wilson's Phalarope,LC,,NR
Falconidae,Phalcoboenus albogularis,Carancho de garganta blanca,White-throated Caracara,LC,,X
Falconidae,Phalcoboenus australis,Carancho negro,Striated Caracara,NT,,X
Falconidae,Phalcoboenus megalopterus,Carancho cordillerano,Mountain Caracara,LC,,X
Phasianidae,Phasianus colchicus,Faisán de collar,Ring-necked Pheasant,LC,,IN
Charadriidae,Phegornis mitchellii,Chorlito cordillerano,Diademed Sandpiper-Plover,NT,NT,X
Cardinalidae,Pheucticus aureoventris,Rey del bosque,Black-backed Grosbeak,LC,,E
Threskiornithidae,Phimosus infuscatus,Cuervo de pantano de cara pelada,Bare-faced Ibis,LC,,E
Furnariidae,Phleocryptes melanops,Trabajador,Wren-like Rushbird,LC,,X
Diomedeidae,Phoebastria irrorata,Albatros de las Galápagos,Waved Albatross,CR,CR,E
Diomedeidae,Phoebetria fusca,Albatros oscuro,Sooty Albatross,EN,,E
Diomedeidae,Phoebetria palpebrata,Albatros de manto claro,Light-mantled Albatross,NT,EN,NR
Phoenicopteridae,Phoenicoparrus andinus,Parina grande,Andean Flamingo,VU,VU,X
Phoenicopteridae,Phoenicoparrus jamesi,Parina chica,James's Flamingo,NT,VU,X
Phoenicopteridae,Phoenicopterus chilensis,Flamenco chileno,Chilean Flamingo,NT,NT,X
Thraupidae,Phrygilus atriceps,Cometocino del norte,Black-hooded Sierra Finch,LC,,X
Thraupidae,Phrygilus gayi,Cometocino de Gay,Gray-hooded Sierra Finch,LC,,X
Thraupidae,Phrygilus patagonicus,Cometocino patag√≥nico,Patagonian Sierra Finch,LC,,X
Cotingidae,Phytotoma rara,Rara,Rufous-tailed Plantcutter,LC,,X
Cotingidae,Phytotoma rutila,Cortarramas,White-tipped Plantcutter,LC,,E
Cardinalidae,Piranga rubra,Piranga,Summer Tanager,LC,,E
Tyrannidae,Pitangus sulphuratus,Benteveo,Great Kiskadee,LC,,E
Threskiornithidae,Platalea ajaja,Espátula,Roseate Spoonbill,LC,,E
Threskiornithidae,Plegadis chihi,Cuervo de pantano común,White-faced Ibis,LC,NT,X
Threskiornithidae,Plegadis ridgwayi,Cuervo de pantano de la puna,Puna Ibis,LC,NT,NR
Charadriidae,Pluvialis dominica,Chorlo dorado,American Golden-Plover,LC,,NR
Charadriidae,Pluvialis fulva,Chorlo dorado del Pacífico,Pacific Golden-Plover,LC,,E
Charadriidae,Pluvialis squatarola,Chorlo ártico,Black-bellied Plover,LC,,NR
Pluvianellidae,Pluvianellus socialis,Chorlo de Magallanes,Magellanic Plover,NT,EN,X
Podicipedidae,Podiceps gallardoi,Pimpollo tobiano,Hooded Grebe,CR,,NR
Podicipedidae,Podiceps major,Huala,Great Grebe,LC,,X
Podicipedidae,Podiceps occipitalis,Blanquillo,Silvery Grebe,LC,,X
Podicipedidae,Podilymbus podiceps,Picurio,Pied-billed Grebe,LC,,X
Phalacrocoracidae,Poikilocarbo gaimardi,Lile,Red-legged Cormorant,NT,NT,X
Rallidae,Porphyrio martinica,Tagüita purpúrea,Purple Gallinule,LC,,E
Rallidae,Porphyriops melanops,Tagüita común,Spot-flanked Gallinule,LC,,X
Rallidae,Porzana spiloptera,Burrito negruzco,Dot-winged Crake,VU,,X
Procellariidae,Procellaria aequinoctialis,Petrel de barba blanca,White-chinned Petrel,VU,,NR
Procellariidae,Procellaria cinerea,Petrel gris,Gray Petrel,NT,,E
Procellariidae,Procellaria parkinsoni,Petrel de Parkinson,Parkinson's Petrel,VU,,E
Procellariidae,Procellaria westlandica,Petrel de Westland,Westland Petrel,EN,,NR
Hirundinidae,Progne chalybea,Golondrina doméstica,Gray-breasted Martin,LC,,E
Hirundinidae,Progne elegans,Golondrina negra,Southern Martin,LC,,X
Hirundinidae,Progne murphyi,Golondrina peruana,Peruvian Martin,NT,,NR
Hirundinidae,Progne tapera,Golondrina parda,Brown-chested Martin,LC,,E
Furnariidae,Pseudasthenes humicola,Canastero chileno,Dusky-tailed Canastero,LC,,X(e)
Tyrannidae,Pseudocolopteryx citreola,Pájaro amarillo,Ticking Doradito,LC,NT,X
Psittacidae,Psilopsiagon aurifrons,Perico cordillerano,Mountain Parakeet,LC,LC,X
Procellariidae,Pterodroma alba,Petrel de Fénix,Phoenix Petrel,VU,,X
Procellariidae,Pterodroma atrata,Petrel de Henderson,Henderson Petrel,EN,,X
Procellariidae,Pterodroma cookii,Petrel de Cook,Cook's Petrel,VU,VU,E
Procellariidae,Pterodroma defilippiana,Petrel de Masatierra,Masatierra Petrel,VU,VU,X
Procellariidae,Pterodroma externa,Petrel de Juan Fernández,Juan Fernandez Petrel,VU,EN,X
Procellariidae,Pterodroma gouldi,Petrel de cara gris,Gray-faced Petrel,LC,,E
Procellariidae,Pterodroma heraldica,Petrel de Herald,Herald Petrel,LC,,X
Procellariidae,Pterodroma leucoptera,Petrel de Gould,Gould's Petrel,VU,,E
Procellariidae,Pterodroma longirostris,Petrel de Masafuera,Stejneger's Petrel,VU,EN,X
Procellariidae,Pterodroma mollis,Petrel de collar gris,Soft-plumaged Petrel,LC,,E
Procellariidae,Pterodroma neglecta,Petrel de Kermadec,Kermadec Petrel,LC,EN,X
Procellariidae,Pterodroma nigripennis,Petrel de alas negras,Black-winged Petrel,LC,,X
Procellariidae,Pterodroma ultima,Petrel de Murphy,Murphy's Petrel,LC,,X
Rhinocryptidae,Pteroptochos castaneus,Hued-hued casta√±o,Chestnut-throated Huet-huet,LC,,X
Rhinocryptidae,Pteroptochos megapodius,Turca,Moustached Turca,LC,,X(e)
Rhinocryptidae,Pteroptochos tarnii,Hued-hued del sur,Black-throated Huet-huet,LC,LC,X
Procellariidae,Puffinus assimilis,Fardela chica,Little Shearwater,LC,,NR
Procellariidae,Puffinus bailloni / myrtae,Fardela tropical / de Rapa,Tropical / Rapa Shearwater,,,E
Procellariidae,Puffinus nativitatis,Fardela de Pascua,Christmas Shearwater,LC,VU,X
Procellariidae,Puffinus puffinus,Fardela atlántica,Manx Shearwater,LC,,NR
Furnariidae,Pygarrhichas albogularis,Comesebo grande,White-throated Treerunner,LC,,X
Hirundinidae,Pygochelidon cyanoleuca,Golondrina de dorso negro,Blue-and-white Swallow,LC,,X
Spheniscidae,Pygoscelis antarcticus,Pingüino antártico,Chinstrap Penguin,LC,,E
Spheniscidae,Pygoscelis papua,Pingüino papúa,Gentoo Penguin,LC,,NR
Tyrannidae,Pyrocephalus rubinus,Saca-tu-real,Vermilion Flycatcher,LC,,X
Tyrannidae,Pyrope pyrope,Diucón,Fire-eyed Diucon,LC,,X
Rallidae,Rallus antarcticus,Pidén austral,Austral Rail,VU,VU,X
Thraupidae,Rauenia bonariensis,Naranjero,Blue-and-yellow Tanager,LC,,X
Recurvirostridae,Recurvirostra andina,Caití,Andean Avocet,LC,VU,X
Rheidae,Rhea pennata,Ñandú,Lesser Rhea,LC,Ver ssp.,X
Rheidae,Rhea pennata pennata,Ñandú,,LC,"EN (XI), VU (XII)",X
Rheidae,Rhea pennata tarapacensis,Suri,,NT,VU,X
Trochilidae,Rhodopis vesper,Picaflor del norte,Oasis Hummingbird,LC,,X
Thraupidae,Rhopospina alaudina,Platero,Band-tailed Sierra Finch,LC,,X
Thraupidae,Rhopospina fruticeti,Yal com√∫n,Mourning Sierra Finch,LC,,X
Hirundinidae,Riparia riparia,Golondrina barranquera,Bank Swallow,LC,,NR
Podicipedidae,Rollandia rolland,Pimpollo com√∫n,White-tufted Grebe,LC,,X
Accipitridae,Rupornis magnirostris,Taguató,Roadside Hawk,LC,,E
Rynchopidae,Rynchops niger,Rayador,Black Skimmer,LC,,NR
Thraupidae,Saltator aurantiirostris,Pepitero,Golden-billed Saltator,LC,,X
Anatidae,Sarkidiornis sylvicola,Pato crestudo,Comb Duck,LC,,E
Rhinocryptidae,Scelorchilus albicollis,Tapaculo,White-throated Tapaculo,LC,,X(e)
Rhinocryptidae,Scelorchilus rubecula,Chucao,Chucao Tapaculo,LC,LC,X
Rhinocryptidae,Scytalopus fuscus,Churrín del norte,Dusky Tapaculo,LC,,X(e)
Rhinocryptidae,Scytalopus magellanicus,Churrín del sur,Magellanic Tapaculo,LC,,X
Trochilidae,Sephanoides fernandensis,Picaflor de Juan Fernández,Juan Fernandez Firecrown,CR,CR,X(e)
Trochilidae,Sephanoides sephaniodes,Picaflor chico,Green-backed Firecrown,LC,,X
Parulidae,Setophaga fusca,Reinita de garganta naranja,Blackburnian Warbler,LC,,E
Parulidae,Setophaga pitiayumi,Pitiayumí,Tropical Parula,LC,,E
Parulidae,Setophaga ruticilla,Candelita americana,American Redstart,LC,,E
Parulidae,Setophaga striata,Monjita americana,Blackpoll Warbler,NT,,E
Parulidae,Setophaga virens,Reinita de dorso verde,Black-throated Green Warbler,LC,,E
Thraupidae,Sicalis auriventris,Chirihue dorado,Greater Yellow-Finch,LC,,X
Thraupidae,Sicalis flaveola,Chirihue azafrán,Saffron Finch,LC,,X
Thraupidae,Sicalis lebruni,Chirihue austral,Patagonian Yellow-Finch,LC,,X
Thraupidae,Sicalis lutea,Chirihue puneño,Puna Yellow-Finch,LC,,X
Thraupidae,Sicalis luteola,Chirihue común,Grassland Yellow-Finch,LC,,X
Thraupidae,Sicalis olivascens,Chirihue verdoso,Greenish Yellow-Finch,LC,,X
Thraupidae,Sicalis raimondii,Chirihue de Raimondi,Raimondi's Yellow-Finch,LC,,X
Thraupidae,Sicalis uropygialis,Chirihue cordillerano,Bright-rumped Yellow-Finch,LC,,X
Anatidae,Spatula cyanoptera,Pato colorado,Cinnamon Teal,LC,,X
Anatidae,Spatula discors,Pato de alas azules,Blue-winged Teal,LC,,E
Anatidae,Spatula platalea,Pato cuchara,Red Shoveler,LC,LC,X
Anatidae,Spatula puna,Pato puna,Puna Teal,LC,,X
Anatidae,Spatula versicolor,Pato capuchino,Silver Teal,LC,,X
Anatidae,Speculanas specularis,Pato anteojillo,Spectacled Duck,NT,NT,X
Spheniscidae,Spheniscus humboldti,Pingüino de Humboldt,Humboldt Penguin,VU,VU,X
Spheniscidae,Spheniscus magellanicus,Pingüino de Magallanes,Magellanic Penguin,LC,,X
Fringillidae,Spinus atratus,Jilguero negro,Black Siskin,LC,,X
Fringillidae,Spinus barbatus,Jilguero austral,Black-chinned Siskin,LC,,X
Fringillidae,Spinus crassirostris,Jilguero grande,Thick-billed Siskin,LC,,X
Fringillidae,Spinus magellanicus,Jilguero peruano,Hooded Siskin,LC,,X
Fringillidae,Spinus uropygialis,Jilguero cordillerano,Yellow-rumped Siskin,LC,,X
Thraupidae,Sporophila caerulescens,Corbatita de doble collar,Double-collared Seedeater,LC,,E
Thraupidae,Sporophila lineola,Corbatita overo,Lined Seedeater,LC,,E
Thraupidae,Sporophila telasco,Corbatita del norte,Chestnut-throated Seedeater,LC,,X
Steatornithidae,Steatornis caripensis,Guácharo,Oilbird,LC,,E
Stercorariidae,Stercorarius antarcticus,Salteador pardo,Brown Skua,LC,,E
Stercorariidae,Stercorarius chilensis,Salteador chileno,Chilean Skua,LC,,X
Stercorariidae,Stercorarius longicaudus,Salteador de cola larga,Long-tailed Jaeger,LC,,NR
Stercorariidae,Stercorarius maccormicki,Salteador polar,South Polar Skua,LC,,E
Stercorariidae,Stercorarius parasiticus,Salteador chico,Parasitic Jaeger,LC,,NR
Stercorariidae,Stercorarius pomarinus,Salteador pomarino,Pomarine Jaeger,LC,,NR
Laridae,Sterna hirundinacea,Gaviotín sudamericano,South American Tern,LC,,X
Laridae,Sterna hirundo,Gaviotín boreal,Common Tern,LC,,NR
Laridae,Sterna paradisaea,Gaviotín ártico,Arctic Tern,LC,,NR
Laridae,Sterna trudeaui,Gaviotín piquerito,Snowy-crowned Tern,LC,,X
Laridae,Sternula antillarum,Gaviotín chico boreal,Least Tern,LC,,E
Laridae,Sternula lorata,Gaviotín chico,Peruvian Tern,EN,EN,X
Apodidae,Streptoprocne zonaris,Vencejo de collar,White-collared Swift,LC,,X
Strigidae,Strix rufipes,Concón,Rufous-legged Owl,LC,NT,X
Sturnidae,Sturnus vulgaris,Estornino pinto,European Starling,LC,,E
Sulidae,Sula dactylatra,Piquero blanco,Masked Booby,LC,,X
Sulidae,Sula granti,Piquero de Nazca,Nazca Booby,LC,,E
Sulidae,Sula leucogaster,Piquero café,Brown Booby,LC,,E
Sulidae,Sula nebouxii,Piquero de patas azules,Blue-footed Booby,LC,,X
Sulidae,Sula sula,Piquero de patas rojas,Red-footed Booby,LC,,E
Sulidae,Sula variegata,Piquero de Humboldt,Peruvian Booby,LC,LC,X
Furnariidae,Sylviorthorhynchus desmursii,Colilarga,Des Murs's Wiretail,LC,,X
Ardeidae,Syrigma sibilatrix,Garza chiflón,Whistling Heron,LC,,E
Caprimulgidae,Systellura decussata,Gallina ciega chica,Tschudi's Nightjar,LC,,X
Caprimulgidae,Systellura longirostris,Gallina ciega común,Band-winged Nightjar,LC,,X
Tyrannidae,Tachuris rubrigastra,Siete colores,Many-colored Rush Tyrant,LC,,X
Hirundinidae,Tachycineta leucopyga,Golondrina chilena,Chilean Swallow,LC,,X
Anatidae,Tachyeres patachonicus,Quetru volador,Flying Steamer-Duck,LC,LC,X
Anatidae,Tachyeres pteneres,Quetru no volador,Flightless Steamer-Duck,LC,NT,X
Thraupidae,Tersina viridis,Tersina,Swallow Tanager,LC,,E
Diomedeidae,Thalassarche bulleri,Albatros de Buller,Buller's Albatross,NT,NT,NR
Diomedeidae,Thalassarche cauta,Albatros de frente blanca,White-capped Albatross,NT,NT,E
Diomedeidae,Thalassarche chrysostoma,Albatros de cabeza gris,Gray-headed Albatross,EN,VU,X
Diomedeidae,Thalassarche eremita,Albatros de Chatam,Chatham Albatross,VU,VU,NR
Diomedeidae,Thalassarche melanophris,Albatros de ceja negra,Black-browed Albatross,LC,LC,X
Diomedeidae,Thalassarche salvini,Albatros de Salvin,Salvin's Albatross,VU,VU,NR
Laridae,Thalasseus elegans,Gaviotín elegante,Elegant Tern,NT,NT,NR
Laridae,Thalasseus maximus,Gaviotín real,Royal Tern,LC,,E
Laridae,Thalasseus sandvicensis,Gaviotín de Sandwich,Sandwich Tern,LC,,NR
Procellariidae,Thalassoica antarctica,Petrel antártico,Antarctic Petrel,LC,,E
Trochilidae,Thaumastura cora,Picaflor de Cora,Peruvian Sheartail,LC,,X
Threskiornithidae,Theristicus branickii,Bandurria de la puna,Andean Ibis,NT,EN,NR
Threskiornithidae,Theristicus melanopis,Bandurria común,Black-faced Ibis,LC,LC,X
Thinocoridae,Thinocorus orbignyianus,Perdicita cojón,Gray-breasted Seedsnipe,LC,,X
Thinocoridae,Thinocorus rumicivorus,Perdicita chica,Least Seedsnipe,LC,,X
Thraupidae,Thraupis sayaca,Celestino,Sayaca Tanager,LC,,E
Tinamidae,Tinamotis ingoufi,Perdiz austral,Patagonian Tinamou,LC,VU,X
Tinamidae,Tinamotis pentlandii,Perdiz de la puna,Puna Tinamou,LC,LC,X
Scolopacidae,Tringa flavipes,Pitotoy chico,Lesser Yellowlegs,LC,LC,NR
Scolopacidae,Tringa incana,Playero gris,Wandering Tattler,LC,,E
Scolopacidae,Tringa melanoleuca,Pitotoy grande,Greater Yellowlegs,LC,,NR
Scolopacidae,Tringa semipalmata,Playero grande,Willet,LC,,NR
Scolopacidae,Tringa solitaria,Pitotoy solitario,Solitary Sandpiper,LC,,E
Troglodytidae,Troglodytes aedon,Chercán común,House Wren,LC,,X
Turdidae,Turdus amaurochalinus,Zorzal chalchalero,Creamy-bellied Thrush,LC,,E
Turdidae,Turdus chiguanco,Zorzal negro,Chiguanco Thrush,LC,,X
Turdidae,Turdus falcklandii,Zorzal patagónico,Austral Thrush,LC,,X
Tyrannidae,Tyrannus melancholicus,Suirirí real,Tropical Kingbird,LC,,E
Tyrannidae,Tyrannus savana,Cazamoscas tijereta,Fork-tailed Flycatcher,LC,,E
Tyrannidae,Tyrannus tyrannus,Suirirí boreal,Eastern Kingbird,LC,,E
Tytonidae,Tyto alba,Lechuza,Barn Owl,LC,,X
Furnariidae,Upucerthia albigula,Bandurrilla de Arica,White-throated Earthcreeper,LC,,X
Furnariidae,Upucerthia dumetaria,Bandurrilla común,Scale-throated Earthcreeper,LC,,X
Furnariidae,Upucerthia saturatior,Bandurrilla de los bosques,Patagonian Forest Earthcreeper,LC,,X
Furnariidae,Upucerthia validirostris,Bandurrilla de la puna,Buff-breasted Earthcreeper,LC,,X
Charadriidae,Vanellus chilensis,Queltehue común,Southern Lapwing,LC,,X
Charadriidae,Vanellus resplendens,Queltehue de la puna,Andean Lapwing,LC,,X
Vireonidae,Vireo chivi,Chiví,Chivi Vireo,LC,,E
Vireonidae,Vireo olivaceus,Verderón de ojos rojos,Red-eyed Vireo,LC,,E
Thraupidae,Volatinia jacarina,Negrillo,Blue-black Grassquit,LC,,X
Cathartidae,Vultur gryphus,Cóndor,Andean Condor,VU,NT,X
Laridae,Xema sabini,Gaviota de Sabine,Sabine's Gull,LC,,NR
Thraupidae,Xenospingus concolor,Pizarrita,Slender-billed Finch,NT,NT,X
Columbidae,Zenaida auriculata,T√≥rtola,Eared Dove,LC,,X
Columbidae,Zenaida meloda,Paloma de alas blancas,West Peruvian Dove,LC,,X
Passerellidae,Zonotrichia capensis,Chincol,Rufous-collared Sparrow,LC,,X
